""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YBR154C"	682.653390119567	-1.36479985136482	0.145649904529802	-9.37041363515319	7.22488264145571e-21	4.93408476283187e-20
"YBR155W"	264.289857832388	-3.23116062688468	0.22760580283706	-14.1963016171333	9.65764490482542e-46	1.30670556635018e-44
"YBR156C"	137.791538362688	-1.04596575124938	0.243024888325769	-4.30394499285721	1.6778333853508e-05	4.2929483499639e-05
"YBR158W"	3331.25086961445	-1.42915535187564	0.0991489675079288	-14.4142232420258	4.21150599892492e-47	5.86984309226503e-46
"YBR162C"	16393.6003250022	-1.27434039671537	0.114599452920066	-11.119951834362	1.00326140815308e-28	8.96846508446908e-28
"YBR169C"	2632.0872028665	3.25112150415658	0.130162585173072	24.97738885436	1.07661504503628e-137	5.4089473696745e-136
"YBR177C"	3749.69457809338	1.53671483686452	0.113611327667625	13.5260705812738	1.09734399509139e-41	1.38633263785328e-40
"YBR178W"	5.27995475107507	2.0445400720434	0.879112472573329	2.32568657120589	0.0200352774006024	0.0328730716033681
"YBR181C"	18340.7579187325	-1.17554592993081	0.22498719585974	-5.2249459149829	1.74206021927186e-07	5.45161384891401e-07
"YBR183W"	1448.65582977622	3.62129001117201	0.134928537819055	26.8385774403655	1.14661028682087e-158	7.21473909600586e-157
"YBR191W"	14392.6847804514	-1.55608896057119	0.185272729271673	-8.39890990265184	4.50642400829718e-17	2.59379520406519e-16
"YBR191W-A"	1012.27214752363	-1.23987062201076	0.526489794658136	-2.35497560368827	0.0185239218061815	0.0305479738488199
"YBR196C-A"	13.1609729744948	-1.21617826419856	0.543467456328608	-2.23781249463297	0.0252332852730093	0.0405496954759169
"YBR204C"	473.83227051533	1.27243814922295	0.113351887505252	11.2255576614372	3.05453309122843e-29	2.76873132367153e-28
"YBR212W"	2911.41809504202	1.03896197156685	0.115984979865381	8.95772860220986	3.31435064287855e-19	2.1142033972929e-18
"YBR213W"	122.943923717269	-1.04061289053892	0.231388254556049	-4.49725891461291	6.88351439177363e-06	1.84195114670045e-05
"YBR214W"	5395.79292889916	3.34542017233901	0.13012325381105	25.7096258689999	9.12327079160332e-146	5.18665947371764e-144
"YBR221W-A"	27.6038106514581	1.27165795152839	0.364554819977949	3.48824890480205	0.000486195243680632	0.00103448173811365
"YBR222C"	4955.755844948	1.1911590825757	0.159504644725598	7.46786455419466	8.15066743016226e-14	4.00488821947548e-13
"YBR230C"	3167.05034062471	4.08525620211137	0.191302420395175	21.3549634848969	3.50645375688652e-101	1.1250161781377e-99
"YBR238C"	661.315135300217	-2.13685858173086	0.160417312625082	-13.3206232342578	1.75635173638146e-40	2.15177988723786e-39
"YBR240C"	103.403712872658	1.12570346687052	0.215002311270726	5.23577379339453	1.64295074001229e-07	5.1489186392745e-07
"YBR241C"	1822.47201383301	2.50592216339236	0.186147707813215	13.4620092443301	2.61701817697369e-41	3.26171053941664e-40
"YBR242W"	517.091757079014	-1.26834298651978	0.124986054244818	-10.1478760505184	3.38653330129239e-24	2.63799547183605e-23
"YBR245C"	611.019733120149	-1.43123579971953	0.17812422634061	-8.03504289743676	9.35461690807427e-16	5.06493501931741e-15
"YBR247C"	945.964121976422	-3.28188280122355	0.114232272005908	-28.7299091893559	1.61465752925618e-181	1.26079463218184e-179
"YBR249C"	6129.319902703	-1.21979828488682	0.137844614338891	-8.84908192269267	8.82421822729412e-19	5.55779964344929e-18
"YBR267W"	739.61842333634	-2.39398840691467	0.143609011538601	-16.6701823323335	2.15934862237138e-62	3.93110629819914e-61
"YBR269C"	1067.76055649024	1.29703282766147	0.130613018373238	9.93034878005102	3.07179182544218e-23	2.28568115048115e-22
"YBR271W"	488.71788767814	-1.8602981257978	0.11321136081781	-16.4320798933913	1.12725340410015e-60	1.96919927546444e-59
"YBR275C"	242.461410558253	-2.03339158223772	0.267216506303264	-7.60952835724161	2.75097951220989e-14	1.38747846059395e-13
"YBR280C"	928.885543338123	2.18628459708127	0.118519710778239	18.4465907208634	5.55403135599094e-76	1.30419120355715e-74
"YBR284W"	206.822041095423	1.52514884535458	0.204515122672085	7.45738909391052	8.82537937189129e-14	4.32003653392956e-13
"YBR285W"	111.008357828452	2.97037596095853	0.28994521454013	10.244611092029	1.25127076983483e-24	9.86555457335714e-24
"YBR287W"	3722.84956186892	1.5255904432101	0.131177909846728	11.6299340719229	2.90321711215091e-31	2.81672905746258e-30
"YBR296C"	57.1911897922986	1.43647046981635	0.3027063093605	4.74542626102194	2.08067702838967e-06	5.90147388227284e-06
"YBR298C-A"	1.55979392309802	3.75932841940969	1.68669706316484	2.22881067472535	0.0258265043930805	0.0414413406713431
"YBR302C"	2257.33761176422	1.13694611164566	0.0827466711842814	13.7400827776336	5.8408973943616e-43	7.54080797068876e-42
"YCL001W-A"	20.062151349168	1.98053693260356	0.44554583553149	4.44519233411975	8.78132695927668e-06	2.32103507435041e-05
"YCL024W"	191.630609925239	-1.50005116618049	0.169757945851947	-8.83641209636658	9.88416886846118e-19	6.21934936276669e-18
"YCL031C"	296.569400706315	-1.55514125278676	0.240975548239737	-6.45352304060167	1.09279378702339e-10	4.38538485058737e-10
"YCL033C"	788.082587232177	1.13393604691646	0.201885954705537	5.61671587590317	1.94621054497732e-08	6.60041367974778e-08
"YCL034W"	1716.56005066659	1.03569977034912	0.15589297514278	6.64365901927614	3.05990011435745e-11	1.27368096603408e-10
"YCL035C"	1035.37513785452	1.33443622262336	0.157711249029912	8.46126215366076	2.64499064796041e-17	1.54434093598481e-16
"YCL036W"	539.834375416809	-3.6372112771942	0.189264562979958	-19.2176032318282	2.63671275720305e-82	6.70138642330705e-81
"YCL037C"	47.6128407497127	-2.02348924627468	0.28406735453986	-7.12327275181754	1.05393958780794e-12	4.82726676224966e-12
"YCL038C"	1236.12592809425	1.31944713594628	0.107359069045051	12.290038910384	1.02456704568603e-34	1.08323311959073e-33
"YCL039W"	1182.14288940183	1.5037887829856	0.148226374089946	10.1452173556717	3.48002860908755e-24	2.70757087821085e-23
"YCL040W"	74160.6439610726	6.24437774492123	0.185781968561928	33.6113229569948	1.14621467962728e-247	1.51604435482947e-245
